location_id,postal_code,city,state,country
147,575019,Mangaluru,Karnataka,In
148,396007,Valsad,Gujarat,In
149,302004,"Adarsh Nagar, Jaipur",Rajasthan,In
150,785107,Jorhat,Assam,In
151,246761,Dhampur,Uttar Pradesh,In
152,825101,Ramgarh Cantonment Civil Township,Jharkhand,In
153,301406,Alwar,Rajasthan,In
154,403726,Zuari Nagar,Goa,In
155,431007,Jalna,Maharashtra,In
156,641301,Mettupalayam,Tamil Nadu,In
157,323022,Dabi,Rajasthan,In
158,560085,Bengaluru,Karnataka,In
159,782403,Kamrup,Assam,In
160,562107,Bengaluru Rural,Karnataka,In
161,848130,Samastipur,Bihar,In
162,462030,Bhopal,Madhya Pradesh,In
163,711227,Belur,West Bengal,In
164,192123,Tral,Jammu & Kashmir,In
165,411048,Pune 48,Maharashtra,In
166,517589,Chittoor,Andhra Pradesh,In
167,421001,Kalyan,Maharashtra,In
168,335051,Raisinghnagar,Rajasthan,In
169,678012,Palakkad,Kerala,In
170,444403,Mangrulpir,Maharashtra,In
171,695316,Pallippuram Thiruvananthapuram District,Kerala,In
172,587103,Navanagar Bagalkot,Karnataka,In
173,532440,Palakonda,Andhra Pradesh,In
174,762010,Tikabali,Odisha,In
175,224147,Ambedkar Nagar,Uttar Pradesh,In
176,207247,Aliganj,Uttar Pradesh,In
177,670611,Ancharakandy,Kerala,In
178,175126,Kullu,Himachal Pradesh,In
179,230125,Mangapur,Uttar Pradesh,In
180,410209,Mansarovar (Ksmothe),Maharashtra,In
181,307023,Swaroopganj,Rajasthan,In
182,262308,Khatima,Uttarakhand,In
183,173211,Solan,Himachal Pradesh,In
184,174308,Dist Una,Himachal Pradesh,In
185,143505,Batala,Punjab,In
186,577215,Davanagere,Karnataka,In
187,413514,Wanjrwada,Maharashtra,In
188,670691,Kottayampoyil/Thalassery,Kerala,In
189,206130,Saifai Etawah,Uttar Pradesh,In
190,801503,Danapur,Bihar,In
191,632406,Narasingapuram Vellore District,Tamil Nadu,In
192,403110,Tiswadi,Goa,In
193,641301,Mettupalayam Coimbatore District,Tamil Nadu,In
194,531024,"Paderu, Visakhapatnam",Andhra Pradesh,In
195,461881,Pachmarhi,Madhya Pradesh,In
196,508252,Choutuppal,Telangana,In
197,144040,Nakodar,Punjab,In
198,388325,Karamsad Anand,Gujarat,In
199,414301,Supa Midc,Maharashtra,In
200,500008,Hyderabad,Andhra Pradesh,In
201,689676,Ranni,Kerala,In
202,625005,Thirupparankundran,Tamil Nadu,In
203,788014,"Silchar, Cachar",Assam,In
204,576105,Udupi,Karnataka,In
205,621111,Trichy,Tamil Nadu,In
206,174001,Bilaspur,Himachal Pradesh,In
207,587125,Ilkal,Karnataka,In
208,273212,Gorakhpur,Uttar Pradesh,In
209,445103,Nanded Waghala,Maharashtra,In
210,143530,Gurdaspur,Punjab,In
211,610107,Thiruvarur,Tamil Nadu,In
212,400035,Mumbai,Maharashtra,In
213,110043,Delhi,Delhi,In
214,400062,Mumbai,Maharashtra,In
215,400605,Kalwa Thane,Maharashtra,In
216,110019,New Delhi,Delhi,In
217,133103,Mustafabad,Haryana,In
218,335513,Hanumangarh,Rajasthan,In
219,788011,Silchar,Assam,In
220,466116,Ashta,Madhya Pradesh,In
221,700039,Kolkata 700039,West Bengal,In
222,201009,Ghaziabad,Uttar Pradesh,In
223,125033,Hansi,Haryana,In
224,713363,Ukhra,West Bengal,In
225,400612,Kalyan,Maharashtra,In
226,121002,Faridabad,Haryana,In
227,490023,Bhilai,Chhattisgarh,In
228,394405,Surat,Gujarat,In
229,523230,Kanigiri,Andhra Pradesh,In
230,572106,Tumakuru,Karnataka,In
231,122503,Gurugram,Haryana,In
232,110078,"Dwarka, New Delhi",Delhi,In
233,605010,Puducherry,Puducherry,In
234,764003,Jeypore,Odisha,In
235,400080,"Mumbai, Mulund (W)",Maharashtra,In
236,403002,Caranzalem - Tiswadi,Goa,In
237,250601,Baghpat (250601),Uttar Pradesh,In
238,691509,Kollam,Kerala,In
239,587315,Terdal,Karnataka,In
240,140401,"Rajpura Town, Dist Patiala",Punjab,In
241,452006,Indore,Madhya Pradesh,In
242,482004,Jabalpur,Madhya Pradesh,In
243,502307,Chitkul,Telangana,In
244,600019,"Thiruvottiyur,Chennai",Tamil Nadu,In
245,680317,Puthur,Kerala,In
246,403521,North Goa,Goa,In
247,229304,Rae Bareli,Uttar Pradesh,In
248,823001,Gaya,Bihar,In
249,522503,Guntur,Andhra Pradesh,In
250,201309,Noida Extension,Uttar Pradesh,In
251,380055,Ahmedabad,Gujarat,In
252,364003,Bhavnagar,Gujarat,In
253,342001,Jodhpur,Rajasthan,In
254,682314,Kochi,Kerala,In
255,623525,Ramanathapuram Dist,Tamil Nadu,In
256,201009,Noida,Uttar Pradesh,In
257,600123,Chennai,Tamil Nadu,In
258,758035,Barbil,Odisha,In
259,695528,Pallichal,Kerala,In
260,722122,Bishnupur Bankura District,West Bengal,In
261,110084,New Delhi (North),Delhi,In
262,680651,Thrissur,Kerala,In
263,602024,Thirvallur District,Tamil Nadu,In
264,793001,Shillong,Meghalaya,In
265,680301,Pudukad,Kerala,In
266,680306,Vallachira,Kerala,In
267,629701,Kanniyakumari,Tamil Nadu,In
268,641687,Tiruppur,Tamil Nadu,In
269,671314,Kasaragod,Kerala,In
270,441001,Nagpur,Maharashtra,In
271,673504,Nadapuram,Kerala,In
272,604001,Tindivanam,Tamil Nadu,In
273,495671,Champa,Chhattisgarh,In
274,695013,Trivandrum,Kerala,In
275,700027,Alipore Kolkata,West Bengal,In
276,402401,Murud,Maharashtra,In
277,700028,Kolkata - 700028,West Bengal,In
278,534328,East Vipparru,Andhra Pradesh,In
279,641029,Tiruppur,Tamil Nadu,In
280,843108,Muzaffarpur,Bihar,In
281,685586,Thodupuzha,Kerala,In
282,632512,Timiri,Tamil Nadu,In
283,444904,"Chandur Railway, Dist - Amravati",Maharashtra,In
284,733208,Hanskunda,West Bengal,In
285,132140,Panipat,Haryana,In
286,632406,Vellore,Tamil Nadu,In
287,494334,Kanker,Chhattisgarh,In
288,688524,Cherthalacherthala,Kerala,In
289,206301,Mainpuri,Uttar Pradesh,In
